season,date,season.week,total.cases
2015,11/21/2015,46,254
2015,11/28/2015,47,285
2015,12/5/2015,48,259
2015,12/12/2015,49,356
2015,12/19/2015,50,333
2015,12/26/2015,51,372
2016,1/2/2016,52,459
2016,1/9/2016,1,547
2016,1/16/2016,2,620
2016,1/23/2016,3,636
2016,1/30/2016,4,623
2016,2/6/2016,5,523
2016,2/13/2016,6,419
2016,2/20/2016,7,589
2016,2/27/2016,8,507
2016,3/5/2016,9,411
2016,3/12/2016,10,395
2016,3/19/2016,11,372
2016,3/26/2016,12,304
2016,4/2/2016,13,376
2016,4/9/2016,14,289
2016,4/16/2016,15,224
2016,4/23/2016,16,229
2016,4/30/2016,17,242
2016,5/7/2016,18,180
2016,5/14/2016,19,216
2016,5/21/2016,20,212
2016,5/28/2016,21,198
2016,6/4/2016,22,215
2016,6/11/2016,23,157
2016,6/18/2016,24,192
2016,6/25/2016,25,215
2016,7/2/2016,26,234
2016,7/9/2016,27,246
2016,7/16/2016,28,223
2016,7/23/2016,29,266
2016,7/30/2016,30,221
2016,8/6/2016,31,210
2016,8/13/2016,32,197
2016,8/20/2016,33,221
2016,8/27/2016,34,274
2016,9/3/2016,35,310
2016,9/10/2016,36,242
2016,9/17/2016,37,175
2016,9/24/2016,38,174
2016,10/1/2016,39,138
2016,10/8/2016,40,125
2016,10/15/2016,41,94
2016,10/22/2016,42,108
2016,10/29/2016,43,84
2016,11/5/2016,44,85
2016,11/12/2016,45,84
2016,11/19/2016,46,72
2016,11/26/2016,47,74
2016,12/3/2016,48,86
2016,12/10/2016,49,59
2016,12/17/2016,50,81
2016,12/24/2016,51,72
2016,12/31/2016,52,64
